grupo_consolidacion_id,locations_count,masters_count,criterio_agrupacion,confianza,requiere_revision,taxids_unicos,dominios_unicos,orders_total,codigos_logisticos_total,distribuidores_max
CORP_0207,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,18,3,2
CORP_0208,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0209,14,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,1,1,1
CORP_0210,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0211,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0212,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,2,1,1
CORP_0213,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0214,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0215,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0216,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,61,3,2
CORP_0217,6,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0218,5,1,DOMINIO_CORPORATIVO,MEDIA,True,2,1,63,10,4
CORP_0219,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0220,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0221,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0222,6,1,DOMINIO_CORPORATIVO,BAJA,True,3,1,17,2,2
CORP_0223,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0224,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0225,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0226,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0227,10,1,DOMINIO_CORPORATIVO,BAJA,True,4,1,0,0,0
CORP_0228,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0229,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,3,2,2
CORP_0230,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0231,4,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0232,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0233,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0234,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,2,1,1
CORP_0235,10,1,DOMINIO_CORPORATIVO,MEDIA,True,2,1,169,15,1
CORP_0236,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0237,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,17,2,1
CORP_0238,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0239,4,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,4,2,2
CORP_0240,6,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,35,9,2
CORP_0241,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0242,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0243,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0244,4,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,29,3,2
CORP_0245,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0246,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0247,5,1,DOMINIO_CORPORATIVO,MEDIA,True,2,1,20,7,3
CORP_0248,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,8,2,1
CORP_0249,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,1,1,1
CORP_0250,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,15,4,3
CORP_0251,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,11,1,1
CORP_0252,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0253,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,4,1,1
CORP_0254,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0255,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,5,3,2
CORP_0256,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0257,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0258,131,1,DOMINIO_CORPORATIVO,MEDIA,True,0,1,48,108,1
CORP_0259,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0260,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0261,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0262,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0263,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0264,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0265,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,1,1
CORP_0266,8,1,DOMINIO_CORPORATIVO,BAJA,True,4,1,24,6,1
CORP_0267,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,15,1,1
CORP_0268,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0269,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0270,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,4,1,1
CORP_0271,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0272,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0273,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,1,1,1
CORP_0274,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,9,2,1
CORP_0275,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0276,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0277,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0278,10,1,DOMINIO_CORPORATIVO,BAJA,True,4,1,70,7,1
CORP_0279,12,1,DOMINIO_CORPORATIVO,BAJA,True,4,1,61,6,1
CORP_0280,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,1,1,1
CORP_0281,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0282,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,36,5,3
CORP_0283,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0284,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,3,1,1
CORP_0285,6,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,23,5,1
